Level	Date and Time	Source	Event ID	Task Category
Information	7/23/2023 7:22:12 PM	Microsoft-Windows-Sysmon	13	Registry value set (rule: RegistryEvent)	"Registry value set:
RuleName: -
EventType: SetValue
UtcTime: 2023-07-23 23:22:12.394
ProcessGuid: {3f0f5ad4-b311-64bd-1900-000000003100}
ProcessId: 1280
Image: C:\Windows\system32\svchost.exe
TargetObject: HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\WINEVT\Channels\Microsoft-Windows-Sysmon/Operational\Enabled
Details: DWORD (0x00000000)
User: NT AUTHORITY\LOCAL SERVICE"
Information	7/23/2023 7:21:59 PM	Microsoft-Windows-Sysmon	13	Registry value set (rule: RegistryEvent)	"Registry value set:
RuleName: InvDB-DriverVer
EventType: SetValue
UtcTime: 2023-07-23 23:21:59.166
ProcessGuid: {3f0f5ad4-b311-64bd-1600-000000003100}
ProcessId: 1132
Image: C:\Windows\System32\svchost.exe
TargetObject: \REGISTRY\A\{5dfb6902-580d-20f2-eee2-25aecfb2b037}\Root\InventoryDevicePnp\sw/{96e080c7-143c-11d1-b40f-00a0c9223196}/{3c0d501a-140b-11d1-b40f-00a0c9223196}\DriverVerVersion
Details: 10.0.22621.1
User: NT AUTHORITY\SYSTEM"
Information	7/23/2023 7:21:53 PM	Microsoft-Windows-Sysmon	1	Process Create (rule: ProcessCreate)	"Process Create:
RuleName: -
UtcTime: 2023-07-23 23:21:53.598
ProcessGuid: {3f0f5ad4-b611-64bd-6501-000000003100}
ProcessId: 648
Image: C:\Windows\System32\mmc.exe
FileVersion: 10.0.22621.1635 (WinBuild.160101.0800)
Description: Microsoft Management Console
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: mmc.exe
CommandLine: ""C:\Windows\system32\mmc.exe"" ""C:\Windows\system32\eventvwr.msc"" /s
CurrentDirectory: C:\Windows\system32\
User: JERRY-PC\Jerry
LogonGuid: {3f0f5ad4-b317-64bd-235a-050000000000}
LogonId: 0x55A23
TerminalSessionId: 1
IntegrityLevel: High
Hashes: MD5=A9B316AC836E5DD52B3400360FB6BE11,SHA256=B51FA04E1AB151527E5A82F145CD4C5E07E0DD4D9F3D105359BA5137D0DCF43B,IMPHASH=C4E2592E8FD90F2329C47BE117CF9C56
ParentProcessGuid: {3f0f5ad4-b318-64bd-4500-000000003100}
ParentProcessId: 3440
ParentImage: C:\Windows\explorer.exe
ParentCommandLine: C:\Windows\Explorer.EXE
ParentUser: JERRY-PC\Jerry"
Information	7/23/2023 7:21:53 PM	Microsoft-Windows-Sysmon	1	Process Create (rule: ProcessCreate)	"Process Create:
RuleName: -
UtcTime: 2023-07-23 23:21:53.493
ProcessGuid: {3f0f5ad4-b611-64bd-6401-000000003100}
ProcessId: 7660
Image: C:\Windows\System32\consent.exe
FileVersion: 10.0.22621.1635 (WinBuild.160101.0800)
Description: Consent UI for administrative applications
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: consent.exe
CommandLine: consent.exe 1032 426 000001C94E876DA0
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {3f0f5ad4-b311-64bd-e703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 1
IntegrityLevel: System
Hashes: MD5=69380C642A8A6D6684B627E57276794C,SHA256=8846219FBC8A8AF3717B7F7DD82EB4C66C622CC8A6FB885EC0B7DAE707C22AA4,IMPHASH=5D0C875DBD930A73D5A983016E384930
ParentProcessGuid: {3f0f5ad4-b311-64bd-1300-000000003100}
ParentProcessId: 1032
ParentImage: C:\Windows\System32\svchost.exe
ParentCommandLine: C:\Windows\system32\svchost.exe -k netsvcs -p
ParentUser: NT AUTHORITY\SYSTEM"
Information	7/23/2023 7:21:53 PM	Microsoft-Windows-Sysmon	1	Process Create (rule: ProcessCreate)	"Process Create:
RuleName: -
UtcTime: 2023-07-23 23:21:53.367
ProcessGuid: {3f0f5ad4-b611-64bd-6301-000000003100}
ProcessId: 8064
Image: C:\Windows\System32\mmc.exe
FileVersion: 10.0.22621.1635 (WinBuild.160101.0800)
Description: Microsoft Management Console
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: mmc.exe
CommandLine: ""C:\Windows\system32\mmc.exe"" ""C:\Windows\system32\eventvwr.msc"" /s
CurrentDirectory: C:\Windows\system32\
User: JERRY-PC\Jerry
LogonGuid: {3f0f5ad4-b317-64bd-795a-050000000000}
LogonId: 0x55A79
TerminalSessionId: 1
IntegrityLevel: Medium
Hashes: MD5=A9B316AC836E5DD52B3400360FB6BE11,SHA256=B51FA04E1AB151527E5A82F145CD4C5E07E0DD4D9F3D105359BA5137D0DCF43B,IMPHASH=C4E2592E8FD90F2329C47BE117CF9C56
ParentProcessGuid: {3f0f5ad4-b318-64bd-4500-000000003100}
ParentProcessId: 3440
ParentImage: C:\Windows\explorer.exe
ParentCommandLine: C:\Windows\Explorer.EXE
ParentUser: JERRY-PC\Jerry"
Information	7/23/2023 7:21:48 PM	Microsoft-Windows-Sysmon	1	Process Create (rule: ProcessCreate)	"Process Create:
RuleName: -
UtcTime: 2023-07-23 23:21:48.932
ProcessGuid: {3f0f5ad4-b60c-64bd-6201-000000003100}
ProcessId: 1128
Image: C:\Windows\System32\svchost.exe
FileVersion: 10.0.22621.1 (WinBuild.160101.0800)
Description: Host Process for Windows Services
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: svchost.exe
CommandLine: C:\Windows\System32\svchost.exe -k Camera
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\LOCAL SERVICE
LogonGuid: {3f0f5ad4-b311-64bd-e503-000000000000}
LogonId: 0x3E5
TerminalSessionId: 0
IntegrityLevel: System
Hashes: MD5=8EC922C7A58A8701AB481B7BE9644536,SHA256=949BFB5B4C7D58D92F3F9C5F8EC7CA4CEAFFD10EC5F0020F0A987C472D61C54B,IMPHASH=76B4BAE80D2C3B08BB062D97BF9CA791
ParentProcessGuid: {3f0f5ad4-b311-64bd-0b00-000000003100}
ParentProcessId: 724
ParentImage: C:\Windows\System32\services.exe
ParentCommandLine: C:\Windows\system32\services.exe
ParentUser: NT AUTHORITY\SYSTEM"
Information	7/23/2023 7:21:48 PM	Microsoft-Windows-Sysmon	1	Process Create (rule: ProcessCreate)	"Process Create:
RuleName: -
UtcTime: 2023-07-23 23:21:48.928
ProcessGuid: {3f0f5ad4-b60c-64bd-6101-000000003100}
ProcessId: 7780
Image: C:\Windows\System32\svchost.exe
FileVersion: 10.0.22621.1 (WinBuild.160101.0800)
Description: Host Process for Windows Services
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: svchost.exe
CommandLine: C:\Windows\System32\svchost.exe -k CameraMonitor
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {3f0f5ad4-b311-64bd-e703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 0
IntegrityLevel: System
Hashes: MD5=8EC922C7A58A8701AB481B7BE9644536,SHA256=949BFB5B4C7D58D92F3F9C5F8EC7CA4CEAFFD10EC5F0020F0A987C472D61C54B,IMPHASH=76B4BAE80D2C3B08BB062D97BF9CA791
ParentProcessGuid: {3f0f5ad4-b311-64bd-0b00-000000003100}
ParentProcessId: 724
ParentImage: C:\Windows\System32\services.exe
ParentCommandLine: C:\Windows\system32\services.exe
ParentUser: NT AUTHORITY\SYSTEM"
Information	7/23/2023 7:21:15 PM	Microsoft-Windows-Sysmon	1	Process Create (rule: ProcessCreate)	"Process Create:
RuleName: -
UtcTime: 2023-07-23 23:21:15.562
ProcessGuid: {3f0f5ad4-b5eb-64bd-6001-000000003100}
ProcessId: 6936
Image: C:\Windows\UUS\amd64\MoUsoCoreWorker.exe
FileVersion: 923.508.111.0
Description: MoUSO Core Worker Process
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: MoUSOCoreWorker.exe
CommandLine: C:\Windows\uus\AMD64\MoUsoCoreWorker.exe
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {3f0f5ad4-b311-64bd-e703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 0
IntegrityLevel: System
Hashes: MD5=39BC544389E4BB61E7EA5ADBCD27758F,SHA256=4C182646655A1F0BB3501B0CD13BCF2FB5911A20A2A25BF590C4AD6DC0F7C158,IMPHASH=A71FE2391ABCCBF06D26B5D98D024572
ParentProcessGuid: {3f0f5ad4-b311-64bd-1300-000000003100}
ParentProcessId: 1032
ParentImage: C:\Windows\System32\svchost.exe
ParentCommandLine: C:\Windows\system32\svchost.exe -k netsvcs -p
ParentUser: NT AUTHORITY\SYSTEM"
Information	7/23/2023 7:20:40 PM	Microsoft-Windows-Sysmon	1	Process Create (rule: ProcessCreate)	"Process Create:
RuleName: -
UtcTime: 2023-07-23 23:20:40.122
ProcessGuid: {3f0f5ad4-b5c8-64bd-5f01-000000003100}
ProcessId: 6608
Image: C:\Windows\System32\taskhostw.exe
FileVersion: 10.0.22621.1635 (WinBuild.160101.0800)
Description: Host Process for Windows Tasks
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: taskhostw.exe
CommandLine: taskhostw.exe
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {3f0f5ad4-b311-64bd-e703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 0
IntegrityLevel: System
Hashes: MD5=4887A65FD4F6598AF4986CBC1C0E5488,SHA256=82472A84BCBB4009ADD338200F8E853FE4C5EAFE2E2C3A2D711B85BF29B72D54,IMPHASH=1C4E2D9936E4D9F2490B08AAB4D24260
ParentProcessGuid: {3f0f5ad4-b311-64bd-1300-000000003100}
ParentProcessId: 1032
ParentImage: C:\Windows\System32\svchost.exe
ParentCommandLine: C:\Windows\system32\svchost.exe -k netsvcs -p
ParentUser: NT AUTHORITY\SYSTEM"
Information	7/23/2023 7:20:37 PM	Microsoft-Windows-Sysmon	1	Process Create (rule: ProcessCreate)	"Process Create:
RuleName: -
UtcTime: 2023-07-23 23:20:37.614
ProcessGuid: {3f0f5ad4-b5c5-64bd-5e01-000000003100}
ProcessId: 2948
Image: C:\Windows\WinSxS\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.22621.1771_none_e92b991042f36e5c\TiWorker.exe
FileVersion: 10.0.22621.1771 (WinBuild.160101.0800)
Description: Windows Modules Installer Worker
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: TiWorker.exe
CommandLine: C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.22621.1771_none_e92b991042f36e5c\TiWorker.exe -Embedding
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {3f0f5ad4-b311-64bd-e703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 0
IntegrityLevel: System
Hashes: MD5=AB7190CF976FB619602AB3EAE158E522,SHA256=7B34D9A14E1C0B8F824D398BCF2394FE006E7938BAF5A1E5905C8F80B948BDE8,IMPHASH=AB094FE9205855C660B3CC04E5BA912E
ParentProcessGuid: {3f0f5ad4-b311-64bd-0d00-000000003100}
ParentProcessId: 876
ParentImage: C:\Windows\System32\svchost.exe
ParentCommandLine: C:\Windows\system32\svchost.exe -k DcomLaunch -p
ParentUser: NT AUTHORITY\SYSTEM"
