Level,Date and Time,Source,Event ID,Task Category
Information,7/23/2023 7:21:31 PM,Microsoft-Windows-Sysmon,13,Registry value set (rule: RegistryEvent),"Registry value set:
RuleName: -
EventType: SetValue
UtcTime: 2023-07-23 23:21:31.096
ProcessGuid: {758cb1f7-b312-64bd-1600-000000004200}
ProcessId: 1160
Image: C:\Windows\system32\svchost.exe
TargetObject: HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\WINEVT\Channels\Microsoft-Windows-Sysmon/Operational\Enabled
Details: DWORD (0x00000000)
User: NT AUTHORITY\LOCAL SERVICE"
Information,7/23/2023 7:21:02 PM,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2023-07-23 23:21:02.515
ProcessGuid: {758cb1f7-b5de-64bd-d400-000000004200}
ProcessId: 6548
Image: C:\Windows\System32\mmc.exe
FileVersion: 10.0.22621.1635 (WinBuild.160101.0800)
Description: Microsoft Management Console
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: mmc.exe
CommandLine: ""C:\Windows\system32\mmc.exe"" ""C:\Windows\system32\eventvwr.msc"" /s
CurrentDirectory: C:\Windows\system32\
User: NEWMAN-PC\Newman
LogonGuid: {758cb1f7-b319-64bd-f4c5-050000000000}
LogonId: 0x5C5F4
TerminalSessionId: 1
IntegrityLevel: High
Hashes: MD5=A9B316AC836E5DD52B3400360FB6BE11,SHA256=B51FA04E1AB151527E5A82F145CD4C5E07E0DD4D9F3D105359BA5137D0DCF43B,IMPHASH=C4E2592E8FD90F2329C47BE117CF9C56
ParentProcessGuid: {758cb1f7-b31c-64bd-5d00-000000004200}
ParentProcessId: 4132
ParentImage: C:\Windows\explorer.exe
ParentCommandLine: C:\Windows\Explorer.EXE
ParentUser: NEWMAN-PC\Newman"
Information,7/23/2023 7:21:02 PM,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2023-07-23 23:21:02.401
ProcessGuid: {758cb1f7-b5de-64bd-d300-000000004200}
ProcessId: 3396
Image: C:\Windows\System32\consent.exe
FileVersion: 10.0.22621.1635 (WinBuild.160101.0800)
Description: Consent UI for administrative applications
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: consent.exe
CommandLine: consent.exe 1056 426 000001CA47C67660
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {758cb1f7-b312-64bd-e703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 1
IntegrityLevel: System
Hashes: MD5=69380C642A8A6D6684B627E57276794C,SHA256=8846219FBC8A8AF3717B7F7DD82EB4C66C622CC8A6FB885EC0B7DAE707C22AA4,IMPHASH=5D0C875DBD930A73D5A983016E384930
ParentProcessGuid: {758cb1f7-b312-64bd-1300-000000004200}
ParentProcessId: 1056
ParentImage: C:\Windows\System32\svchost.exe
ParentCommandLine: C:\Windows\system32\svchost.exe -k netsvcs -p
ParentUser: NT AUTHORITY\SYSTEM"
Information,7/23/2023 7:21:02 PM,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2023-07-23 23:21:02.294
ProcessGuid: {758cb1f7-b5de-64bd-d200-000000004200}
ProcessId: 5768
Image: C:\Windows\System32\mmc.exe
FileVersion: 10.0.22621.1635 (WinBuild.160101.0800)
Description: Microsoft Management Console
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: mmc.exe
CommandLine: ""C:\Windows\system32\mmc.exe"" ""C:\Windows\system32\eventvwr.msc"" /s
CurrentDirectory: C:\Windows\system32\
User: NEWMAN-PC\Newman
LogonGuid: {758cb1f7-b319-64bd-4ec6-050000000000}
LogonId: 0x5C64E
TerminalSessionId: 1
IntegrityLevel: Medium
Hashes: MD5=A9B316AC836E5DD52B3400360FB6BE11,SHA256=B51FA04E1AB151527E5A82F145CD4C5E07E0DD4D9F3D105359BA5137D0DCF43B,IMPHASH=C4E2592E8FD90F2329C47BE117CF9C56
ParentProcessGuid: {758cb1f7-b31c-64bd-5d00-000000004200}
ParentProcessId: 4132
ParentImage: C:\Windows\explorer.exe
ParentCommandLine: C:\Windows\Explorer.EXE
ParentUser: NEWMAN-PC\Newman"
Information,7/23/2023 7:19:26 PM,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2023-07-23 23:19:26.165
ProcessGuid: {758cb1f7-b57e-64bd-d000-000000004200}
ProcessId: 4508
Image: C:\Windows\System32\SecurityHealth\1.0.2306.10002-0\SecurityHealthHost.exe
FileVersion: 10.0.25873.1001 (WinBuild.160101.0800)
Description: Windows Security Health Host
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: SecurityHealthHost.exe
CommandLine: \\?\C:\Windows\System32\SecurityHealth\1.0.2306.10002-0\SecurityHealthHost.exe {08728914-3F57-4D52-9E31-49DAECA5A80A} -Embedding
CurrentDirectory: C:\Windows\system32\
User: NEWMAN-PC\Newman
LogonGuid: {758cb1f7-b319-64bd-4ec6-050000000000}
LogonId: 0x5C64E
TerminalSessionId: 1
IntegrityLevel: Medium
Hashes: MD5=193DC58240D8AC4EC1618FFAE14CAE71,SHA256=8D771C8A91614B85416B3EB328460E80183B38F2DC35C7A26578206AF145F419,IMPHASH=FBC9E5DE00516A75FFF7C4A11857FB1D
ParentProcessGuid: {758cb1f7-b312-64bd-0d00-000000004200}
ParentProcessId: 900
ParentImage: C:\Windows\System32\svchost.exe
ParentCommandLine: C:\Windows\system32\svchost.exe -k DcomLaunch -p
ParentUser: NT AUTHORITY\SYSTEM"
Information,7/23/2023 7:19:26 PM,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2023-07-23 23:19:26.152
ProcessGuid: {758cb1f7-b57e-64bd-cf00-000000004200}
ProcessId: 6980
Image: C:\Windows\System32\taskhostw.exe
FileVersion: 10.0.22621.1635 (WinBuild.160101.0800)
Description: Host Process for Windows Tasks
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: taskhostw.exe
CommandLine: taskhostw.exe -RegisterDevice -ProtectionStateChanged -FreeNetworkOnly
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {758cb1f7-b312-64bd-e703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 0
IntegrityLevel: System
Hashes: MD5=4887A65FD4F6598AF4986CBC1C0E5488,SHA256=82472A84BCBB4009ADD338200F8E853FE4C5EAFE2E2C3A2D711B85BF29B72D54,IMPHASH=1C4E2D9936E4D9F2490B08AAB4D24260
ParentProcessGuid: {758cb1f7-b312-64bd-1300-000000004200}
ParentProcessId: 1056
ParentImage: C:\Windows\System32\svchost.exe
ParentCommandLine: C:\Windows\system32\svchost.exe -k netsvcs -p
ParentUser: NT AUTHORITY\SYSTEM"
Information,7/23/2023 7:19:24 PM,Microsoft-Windows-Sysmon,11,File created (rule: FileCreate),"File created:
RuleName: EXE
UtcTime: 2023-07-23 23:19:24.541
ProcessGuid: {758cb1f7-b57c-64bd-cd00-000000004200}
ProcessId: 4856
Image: C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23050.5-0\MpCmdRun.exe
TargetFilename: C:\Windows\SystemTemp\mpam-4b92ca5a.exe
CreationUtcTime: 2023-07-23 23:19:24.541
User: NT AUTHORITY\SYSTEM"
Information,7/23/2023 7:19:24 PM,Microsoft-Windows-Sysmon,11,File created (rule: FileCreate),"File created:
RuleName: EXE
UtcTime: 2023-07-23 23:19:24.509
ProcessGuid: {758cb1f7-b57c-64bd-cd00-000000004200}
ProcessId: 4856
Image: C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23050.5-0\MpCmdRun.exe
TargetFilename: C:\Windows\SystemTemp\mpam-11535b16.exe
CreationUtcTime: 2023-07-23 23:19:24.509
User: NT AUTHORITY\SYSTEM"
Information,7/23/2023 7:19:24 PM,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2023-07-23 23:19:24.476
ProcessGuid: {758cb1f7-b57c-64bd-cd00-000000004200}
ProcessId: 4856
Image: C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23050.5-0\MpCmdRun.exe
FileVersion: 4.18.23050.5 (b79513656627928b5505482e6c59e640a77adba5)
Description: Microsoft Malware Protection Command Line Utility
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: MpCmdRun.exe
CommandLine: ""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23050.5-0\MpCmdRun.exe"" SignaturesUpdateService -ScheduleJob -HttpDownload -RestrictPrivileges
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {758cb1f7-b312-64bd-e703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 0
IntegrityLevel: System
Hashes: MD5=94E527812DF3B448E18F5CB7B38E0216,SHA256=B370F2D32704CD1BDEA8F1836F68A3AF72CB9385EB8719DD84BE9A6B3018D17A,IMPHASH=FC22E52F90EC346C7C758AAACF835104
ParentProcessGuid: {758cb1f7-b314-64bd-3500-000000004200}
ParentProcessId: 2932
ParentImage: C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23050.5-0\MsMpEng.exe
ParentCommandLine: ""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23050.5-0\MsMpEng.exe""
ParentUser: NT AUTHORITY\SYSTEM"
Information,7/23/2023 7:19:24 PM,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2023-07-23 23:19:24.233
ProcessGuid: {758cb1f7-b57c-64bd-ca00-000000004200}
ProcessId: 4488
Image: C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23050.5-0\MpCmdRun.exe
FileVersion: 4.18.23050.5 (b79513656627928b5505482e6c59e640a77adba5)
Description: Microsoft Malware Protection Command Line Utility
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: MpCmdRun.exe
CommandLine: ""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23050.5-0\MpCmdRun.exe"" SignaturesUpdateService -ScheduleJob -UnmanagedUpdate
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {758cb1f7-b312-64bd-e703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 0
IntegrityLevel: System
Hashes: MD5=94E527812DF3B448E18F5CB7B38E0216,SHA256=B370F2D32704CD1BDEA8F1836F68A3AF72CB9385EB8719DD84BE9A6B3018D17A,IMPHASH=FC22E52F90EC346C7C758AAACF835104
ParentProcessGuid: {758cb1f7-b314-64bd-3500-000000004200}
ParentProcessId: 2932
ParentImage: C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23050.5-0\MsMpEng.exe
ParentCommandLine: ""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23050.5-0\MsMpEng.exe""
ParentUser: NT AUTHORITY\SYSTEM"
